code,chapter,jsonVerse,txtVerse,title,txtLine,reason
PSA,45,2,1,O Ungido de Deus e a sua noiva,177004,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,46,2,1,Deus é o nosso refúgio e fortaleza,177179,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,47,2,1,"Deus, o Rei da terra",177296,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,48,2,1,A cidade de Deus,177364,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,49,2,1,A vaidade do homem,177505,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,51,3,2,Confissão e arrependimento,177912,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,52,3,1,Condenação do ímpio,178095,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,53,2,1,A corrupção do pecador e sua redenção,178214,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,54,3,1,Apelo para o socorro divino,178292,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,55,2,1,Que os traidores sejam destruídos,178393,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,56,2,1,Conforto na perseguição,178614,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,57,2,1,Louvor pela benignidade divina,178751,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,58,2,1,A sorte dos ímpios,178884,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,59,2,1,Súplica em prol de libertação,178976,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,60,3,2,Oração em tempos de guerra,179194,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,61,2,1,Oração pelo rei,179294,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,62,2,1,Exortação à confiança,179397,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,64,2,1,Proteção contra os inimigos,179661,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,65,2,1,Ações de graças pelas bênçãos das searas,179743,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,67,2,1,As nações rendem graças,180053,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,68,2,1,A vitória de Deus sobre os seus inimigos,180144,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,69,2,1,O lamento do Messias,180486,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,70,2,1,Petição por auxílio divino,180816,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,75,2,1,Deus é juiz,181800,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,76,2,1,A majestade e o poder de Deus,181909,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,77,2,1,As grandes obras e a misericórdia de Deus,182001,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,80,2,1,Pedindo restaurações,182927,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,81,2,1,Exortação a louvor e obediência,183104,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,84,2,1,Saudades do templo,183511,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,85,2,1,Pede-se o perdão de Deus,183642,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,88,2,1,Lamentação de um atribulado,183986,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,89,2,1,Promessa do reino messiânico a Davi,184157,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,92,2,1,Hino de gratidão a Deus,184936,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,102,2,1,Arrependimento e esperança,186011,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,108,2,1,Deus concede vitória ao seu povo,187879,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,131,1,2,Calma em Deus,191558,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,132,1,2,Uma promessa antiga,191594,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,139,1,2,Deus onisciente e onipotente,192391,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,140,2,1,Contra inimigos e perfídias,192633,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,142,2,1,Oração no meio de grande perigo,192864,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PRO,31,10,11,O louvor da mulher virtuosa,201605,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ECC,5,17,1,A loucura de votos precipitados,202782,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ECC,5,7,8,A vaidade das riquezas,202901,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ISA,9,23,1,O nascimento e o reino do Príncipe da Paz,208244,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ISA,9,7,8,Profecia contra o reino de Israel,208367,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ISA,24,16,17,A ruína dos transgressores,211765,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ISA,36,1,2,Senaqueribe invade Judá,214586,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ISA,36,4,2,Rabsaqué afronta a Ezequias e ao Senhor,214659,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ISA,37,1,2,Ezequias consulta a Isaías,214892,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ISA,37,8,2,A carta do rei da Assíria,215013,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ISA,37,14,2,A oração de Ezequias,215073,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ISA,37,21,2,O profeta conforta a Ezequias,215160,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ISA,37,36,2,A destruição do exército dos assírios,215345,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ISA,38,1,2,A doença de Ezequias e a sua cura maravilhosa,215383,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ISA,39,1,2,A embaixada da Babilônia,215651,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
JER,9,6,7,Ameaças de ruína e exílio,225903,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
JER,9,22,23,Conhecer a Deus constitui a glória do homem,226090,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
JER,39,1,2,Nabucodonosor toma Jerusalém,235769,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
JER,52,1,2,A queda de Jerusalém e o cativeiro de Judá,240658,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
JER,52,31,2,Libertado e honrado o rei Joaquim,241042,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
LAM,1,1,2,Jerusalém destruída e desolada,241170,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
EZK,20,1,45,A profecia contra o Sul,249170,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
EZK,21,6,1,A espada do Senhor,249218,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
DAN,4,31,1,A loucura de Nabucodonosor,261444,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
DAN,6,2,1,Daniel na cova dos leões,262436,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
JOL,2,1,28,Promessa do derramamento do Espírito,268106,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
JON,2,2,1,A oração de Jonas no ventre do peixe,270944,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
NAM,2,2,1,O cerco e a tomada de Nínive,272945,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
HAB,1,12,13,A intercessão do profeta,273472,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ZEC,2,5,1,A terceira visão: Jerusalém é medida,275657,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ZEC,2,10,6,Israel exortado a voltar para Sião,275730,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
MAL,4,19,1,O sol da justiça e seu precursor,279021,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
MAT,1,18,19,O nascimento de Jesus Cristo,279305,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
MAT,5,3,1,As bem-aventuranças,280138,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
MRK,5,14,15,Os gerasenos rejeitam a Jesus,293189,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
MRK,5,24,25,A cura de uma mulher enferma,293297,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
MRK,16,9,10,Jesus aparece a Maria Madalena,298971,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
LUK,8,42,43,A cura de uma mulher enferma,303617,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
LUK,9,43,44,De novo prediz Jesus a sua morte,304335,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
ACT,8,1,2,A primeira perseguição à igreja,324699,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
GAL,6,11,12,Paulo gloria-se na cruz de Cristo,348639,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
REV,16,4,3,O terceiro flagelo,370505,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
