code,chapter,title,jsonVerse,txtVerse,onlineVerse,verdict,note
PSA,45,"O Ungido de Deus e a sua noiva,177004,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,46,"Deus é o nosso refúgio e fortaleza,177179,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,47,"Deus, o Rei da terra"",177296,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,48,"A cidade de Deus,177364,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,49,"A vaidade do homem,177505,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,51,"Confissão e arrependimento,177912,""titulo igual no mesmo capitulo",3,2,,review,"título não encontrado na página ARA"
PSA,52,"Condenação do ímpio,178095,""titulo igual no mesmo capitulo",3,1,,review,"título não encontrado na página ARA"
PSA,53,"A corrupção do pecador e sua redenção,178214,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,54,"Apelo para o socorro divino,178292,""titulo igual no mesmo capitulo",3,1,,review,"título não encontrado na página ARA"
PSA,55,"Que os traidores sejam destruídos,178393,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,56,"Conforto na perseguição,178614,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,57,"Louvor pela benignidade divina,178751,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,58,"A sorte dos ímpios,178884,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,59,"Súplica em prol de libertação,178976,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,60,"Oração em tempos de guerra,179194,""titulo igual no mesmo capitulo",3,2,,review,"título não encontrado na página ARA"
PSA,61,"Oração pelo rei,179294,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,62,"Exortação à confiança,179397,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,64,"Proteção contra os inimigos,179661,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,65,"Ações de graças pelas bênçãos das searas,179743,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,67,"As nações rendem graças,180053,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,68,"A vitória de Deus sobre os seus inimigos,180144,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,69,"O lamento do Messias,180486,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,70,"Petição por auxílio divino,180816,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,75,"Deus é juiz,181800,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,76,"A majestade e o poder de Deus,181909,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,77,"As grandes obras e a misericórdia de Deus,182001,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,80,"Pedindo restaurações,182927,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,81,"Exortação a louvor e obediência,183104,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,84,"Saudades do templo,183511,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,85,"Pede-se o perdão de Deus,183642,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,88,"Lamentação de um atribulado,183986,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,89,"Promessa do reino messiânico a Davi,184157,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,92,"Hino de gratidão a Deus,184936,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,102,"Arrependimento e esperança,186011,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,108,"Deus concede vitória ao seu povo,187879,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,131,"Calma em Deus,191558,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
PSA,132,"Uma promessa antiga,191594,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
PSA,139,"Deus onisciente e onipotente,192391,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
PSA,140,"Contra inimigos e perfídias,192633,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,142,"Oração no meio de grande perigo,192864,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PRO,31,"O louvor da mulher virtuosa,201605,""titulo igual no mesmo capitulo",10,11,,review,"título não encontrado na página ARA"
ECC,5,"A loucura de votos precipitados,202782,""titulo igual no mesmo capitulo",17,1,,review,"título não encontrado na página ARA"
ECC,5,"A vaidade das riquezas,202901,""titulo igual no mesmo capitulo",7,8,,review,"título não encontrado na página ARA"
ISA,9,"O nascimento e o reino do Príncipe da Paz,208244,""titulo igual no mesmo capitulo",23,1,,review,"título não encontrado na página ARA"
ISA,9,"Profecia contra o reino de Israel,208367,""titulo igual no mesmo capitulo",7,8,,review,"título não encontrado na página ARA"
ISA,24,"A ruína dos transgressores,211765,""titulo igual no mesmo capitulo",16,17,,review,"título não encontrado na página ARA"
ISA,36,"Senaqueribe invade Judá,214586,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
ISA,36,"Rabsaqué afronta a Ezequias e ao Senhor,214659,""titulo igual no mesmo capitulo",4,2,,review,"título não encontrado na página ARA"
ISA,37,"Ezequias consulta a Isaías,214892,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
ISA,37,"A carta do rei da Assíria,215013,""titulo igual no mesmo capitulo",8,2,,review,"título não encontrado na página ARA"
ISA,37,"A oração de Ezequias,215073,""titulo igual no mesmo capitulo",14,2,,review,"título não encontrado na página ARA"
ISA,37,"O profeta conforta a Ezequias,215160,""titulo igual no mesmo capitulo",21,2,,review,"título não encontrado na página ARA"
ISA,37,"A destruição do exército dos assírios,215345,""titulo igual no mesmo capitulo",36,2,,review,"título não encontrado na página ARA"
ISA,38,"A doença de Ezequias e a sua cura maravilhosa,215383,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
ISA,39,"A embaixada da Babilônia,215651,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
JER,9,"Ameaças de ruína e exílio,225903,""titulo igual no mesmo capitulo",6,7,,review,"título não encontrado na página ARA"
JER,9,"Conhecer a Deus constitui a glória do homem,226090,""titulo igual no mesmo capitulo",22,23,,review,"título não encontrado na página ARA"
JER,39,"Nabucodonosor toma Jerusalém,235769,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
JER,52,"A queda de Jerusalém e o cativeiro de Judá,240658,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
JER,52,"Libertado e honrado o rei Joaquim,241042,""titulo igual no mesmo capitulo",31,2,,review,"título não encontrado na página ARA"
LAM,1,"Jerusalém destruída e desolada,241170,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
EZK,20,"A profecia contra o Sul,249170,""titulo igual no mesmo capitulo",1,45,,review,"título não encontrado na página ARA"
EZK,21,"A espada do Senhor,249218,""titulo igual no mesmo capitulo",6,1,,review,"título não encontrado na página ARA"
DAN,4,"A loucura de Nabucodonosor,261444,""titulo igual no mesmo capitulo",31,1,,review,"título não encontrado na página ARA"
DAN,6,"Daniel na cova dos leões,262436,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
JOL,2,"Promessa do derramamento do Espírito,268106,""titulo igual no mesmo capitulo",1,28,,review,"título não encontrado na página ARA"
JON,2,"A oração de Jonas no ventre do peixe,270944,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
NAM,2,"O cerco e a tomada de Nínive,272945,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
HAB,1,"A intercessão do profeta,273472,""titulo igual no mesmo capitulo",12,13,,review,"título não encontrado na página ARA"
ZEC,2,"A terceira visão: Jerusalém é medida,275657,""titulo igual no mesmo capitulo",5,1,,review,"título não encontrado na página ARA"
ZEC,2,"Israel exortado a voltar para Sião,275730,""titulo igual no mesmo capitulo",10,6,,review,"título não encontrado na página ARA"
MAL,4,"O sol da justiça e seu precursor,279021,""titulo igual no mesmo capitulo",19,1,,review,"título não encontrado na página ARA"
MAT,1,"O nascimento de Jesus Cristo,279305,""titulo igual no mesmo capitulo",18,19,,review,"título não encontrado na página ARA"
MAT,5,"As bem-aventuranças,280138,""titulo igual no mesmo capitulo",3,1,,review,"título não encontrado na página ARA"
MRK,5,"Os gerasenos rejeitam a Jesus,293189,""titulo igual no mesmo capitulo",14,15,,review,"título não encontrado na página ARA"
MRK,5,"A cura de uma mulher enferma,293297,""titulo igual no mesmo capitulo",24,25,,review,"título não encontrado na página ARA"
MRK,16,"Jesus aparece a Maria Madalena,298971,""titulo igual no mesmo capitulo",9,10,,review,"título não encontrado na página ARA"
LUK,8,"A cura de uma mulher enferma,303617,""titulo igual no mesmo capitulo",42,43,,review,"título não encontrado na página ARA"
LUK,9,"De novo prediz Jesus a sua morte,304335,""titulo igual no mesmo capitulo",43,44,,review,"título não encontrado na página ARA"
ACT,8,"A primeira perseguição à igreja,324699,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
GAL,6,"Paulo gloria-se na cruz de Cristo,348639,""titulo igual no mesmo capitulo",11,12,,review,"título não encontrado na página ARA"
REV,16,"O terceiro flagelo,370505,""titulo igual no mesmo capitulo",4,3,,review,"título não encontrado na página ARA"
